tx,g
Abludomelita,1
Abludomelita obtusata,1
Abra,2
Abra alba,2
Abra nitida,2
Abra prismatica,2
Abra segmentum,2
Abra tenuis,2
Acanthocardia,3
Acanthocardia echinata,3
Acanthocardia tuberculata,3
Acanthodoris pilosa,2
Achelia,2
Achelia echinata,2
Acrocnida brachiata,3
Acteon tornatilis,2
Adalaria proxima,2
Aeolidia,2
Aeolidia papillosa,2
Aequipecten,3
Aequipecten opercularis,3
Alderia modesta,2
Alitta succinea,2
Alitta virens,2
Ampelisca,1
Ampelisca armoricana,1
Ampelisca brevicornis,1
Ampelisca diadema,1
Ampelisca macrocephala,1
Ampelisca spinipes,1
Ampelisca tenuicornis,1
Ampelisca typica,1
Ampeliscidae,1
Ampharete,2
Ampharete acutifrons,2
Amphilochidae,1
Amphipholis,2
Amphipholis squamata,2
Amphipoda,1
Amphiura,3
Amphiura chiajei,3
Amphiura filiformis,3
Ampithoidae,1
Anonyx,2
Anonyx sarsi,2
Antedon bifida,2
Anthuridae,1
Aonides,2
Aonides paucibranchiata,2
Aoridae,1
Aphelochaeta,2
Aphelochaeta marioni,2
Apherusa,2
Aphrodita,2
Aphrodita aculeata,2
Aplysia,2
Aplysia punctata,2
Aporrhais,2
Aporrhais pespelecani,2
Arca,3
Arcopagia crassa,3
Arctica,3
Arctica islandica,3
Arenicola,2
Arenicola defodiens,2
Arenicola marina,2
Arrhis phyllonyx,1
Asbjornsenia pygmaea,2
Astarte,2
Astarte montagui,2
Asterias,3
Asterias amurensis,3
Asterias rubens,3
Asterina gibbosa,2
Astropecten,3
Astropecten irregularis,3
Atylidae,1
Balanus,3
Balanus balanus,3
Balanus crenatus,2
Barnea,3
Barnea candida,3
Bathyporeia,1
Bathyporeia elegans,1
Bathyporeia gracilis,1
Bathyporeia guilliamsoniana,1
Bathyporeia pelagica,1
Bathyporeia pilosa,1
Bathyporeia sarsi,1
Bathyporeia tenuipes,1
Bela,2
Bela nebula,2
Bodotria,1
Bodotria arenosa,1
Bodotria scorpioides,1
Bodotriidae,1
Brissopsis lyrifera,3
Buccinum,3
Buccinum undatum,3
Bylgides,2
Bylgides sarsi,2
Cadlina,2
Cadlina laevis,2
Callianassa,2
Callianassa subterranea,2
Calliopiidae,2
Callista chione,3
Calocaris macandreae,2
Cancer,2
Cancer pagurus,3
Capitella,2
Capitella capitata,2
Caprella,1
Caprella equilibra,1
Caprella grandimana,1
Caprella septentrionalis,2
Caprellidae,1
Carcinus maenas,2
Cerastoderma,3
Cerastoderma edule,3
Cerastoderma glaucum,3
Chaetopterus,2
Chaetopterus variopedatus,2
Chaetozone,2
Chaetozone setosa,2
Chamelea,3
Chamelea gallina,3
Chamelea striatula,3
Cheirocratus,1
Cheirocratus sundevallii,1
Chironomus,2
Chironomus salinarius,2
Cirolanidae,1
Clibanarius erythropus,2
Corbula gibba,2
Corophiidae,1
Corophium,1
Corophium arenarium,1
Corophium multisetosum,1
Corophium volutator,1
Corystes,2
Corystes cassivelaunus,2
Crangon,2
Crangon allmanni,2
Crangon crangon,2
Crassicorophium bonellii,1
Crossaster,3
Crossaster papposus,3
Ctenodiscus crispatus,3
Cumacea,1
Cumopsis,1
Cumopsis goodsir,1
Cuthona,2
Cuthona nana,2
Cyathura carinata,1
Cyclaspis longicaudata,1
Cymadusa filosa,1
Dendronotus frondosus,2
Diastylidae,1
Diastylis,1
Diastylis bradyi,1
Diastylis rathkei,1
Diastyloides,1
Diastyloides serratus,1
Diogenes pugilator,2
Donax,3
Donax trunculus,3
Donax vittatus,3
Doris,2
Doris pseudoargus,2
Dosinia,3
Dosinia exoleta,3
Dosinia lupinus,3
Doto,2
Doto coronata,2
Dulichiidae,1
Dyopedos,1
Dyopedos monacanthus,1
Ebalia,2
Ebalia cranchii,2
Echinocardium,3
Echinocardium cordatum,3
Echinocyamus,2
Echinocyamus pusillus,2
Echinogammarus,1
Echinogammarus marinus,1
Echinogammarus obtusatus,1
Echinus,2
Echinus esculentus,2
Elysia viridis,2
Endeis,1
Endeis spinosa,1
Ensis,3
Ensis directus,3
Ensis ensis,3
Ensis magnus,3
Ensis siliqua,3
Epitonium,2
Epitonium clathratulum,2
Erythrops,1
Erythrops elegans,1
Erythrops serratus,1
Eteone,2
Eteone flava,2
Eteone longa,2
Eubranchus,2
Eulalia,2
Eulalia bilineata,2
Eumida,2
Eumida sanguinea,2
Eunereis,2
Eunereis longissima,2
Eupolymnia,2
Eupolymnia nebulosa,2
Eurydice,1
Eurydice pulchra,1
Eusiridae,2
Euspira,2
Euspira catena,2
Euspira nitida,2
Fabulina fabula,2
Flexopecten glaber,3
Gammaridae,1
Gammaropsis,1
Gammaropsis maculata,1
Gammarus,1
Gammarus insensibilis,1
Gammarus locusta,1
Gammarus oceanicus,1
Gammarus salinus,1
Gammarus zaddachi,1
Gari,3
Gari fervensis,3
Gastrosaccus,1
Gastrosaccus sanctus,1
Gastrosaccus spinifer,1
Gattyana,2
Gattyana cirrhosa,2
Glycera,3
Glycera alba,3
Glycera tridactyla,3
Glycymeris glycymeris,3
Goniada,2
Goniada maculata,2
Gracilechinus acutus,3
Haliotis tuberculata,3
Haminoea,2
Haminoea orbignyana,2
Haploops,1
Haploops nirae,1
Haploops tenuis,1
Haploops tubicola,1
Harmothoe,2
Harmothoe imbricata,2
Harmothoe impar,2
Harpinia,1
Harpinia antennaria,1
Haustoriidae,1
Haustorius arenarius,1
Hediste,2
Hediste diversicolor,2
Hemilamprops,1
Hemilamprops roseus,1
Hemimysis lamornae,1
Hermania scabra,2
Heteromastus,2
Heteromastus filiformis,2
Heteromysis,1
Heteromysis (Heteromysis) formosa,1
Hiatella,3
Hiatella arctica,3
Hippomedon,1
Homarus gammarus,3
Hypereteone foliosa,2
Idotea,1
Idotea balthica,1
Idotea chelipes,1
Idotea granulosa,1
Idotea linearis,1
Idotea pelagica,1
Idoteidae,1
Iphinoe,1
Iphinoe trispinosa,1
Ischyroceridae,1
Isopoda,1
Jaera,1
Jaera (Jaera) albifrons,1
Janiridae,1
Jassa,1
Jassa falcata,1
Jassa marmorata,1
Kefersteinia,2
Kefersteinia cirrhata,2
Kellia suborbicularis,2
Kurtiella bidentata,2
Lacuna,2
Lacuna pallidula,2
Lacuna parva,2
Lacuna vincta,2
Lagis,2
Lagis koreni,2
Lampropidae,1
Lamprops fasciatus,1
Lanice conchilega,2
Laonice,2
Laonice cirrata,2
Lasaea adansoni,2
Lembos,1
Lembos websteri,1
Lepidochitona,2
Lepidochitona cinerea,2
Lepidonotus,2
Lepidonotus squamatus,2
Leptomysis,1
Leptomysis gracilis,1
Leptosynapta,2
Leptosynapta inhaerens,2
Leucon,1
Leucon (Leucon) affinis,1
Leucon (Leucon) nasica,2
Leucon (Macrauloleucon) siphonatus,1
Leucothoidae,1
Limapontia,2
Limapontia capitata,2
Limapontia depressa,2
Limecola balthica,2
Liocarcinus,2
Liocarcinus navigator,2
Littorina,2
Littorina fabalis,2
Littorina littorea,2
Littorina obtusata,2
Littorina saxatilis,2
Lucinoma borealis,3
Lumbrineris,2
Lumbrineris latreilli,2
Lutraria,3
Lutraria lutraria,3
Lysianassidae,1
Lysmata seticaudata,2
Macoma,2
Macomangulus tenuis,2
Macropodia,2
Macropodia rostrata,2
Mactra,3
Mactra stultorum,3
Magelona,2
Magelona filiformis,2
Magelona johnstoni,2
Magelona mirabilis,2
Maja,2
Maja brachydactyla,2
Maja squinado,2
Makrokylindrus,1
Malacoceros,2
Malacoceros fuliginosus,2
Malmgrenia,3
Malmgrenia lunulata,3
Manayunkia,1
Manayunkia aestuarina,1
Marthasterias glacialis,3
Mediomastus,2
Mediomastus fragilis,2
Megaluropus,1
Megaluropus agilis,1
Melita,1
Melita palmata,1
Melitidae,1
Mesopodopsis slabberi,1
Metopa,1
Microdeutopus,1
Microdeutopus gryllotalpa,1
Mimachlamys,3
Mimachlamys varia,3
Modiolus,3
Modiolus barbatus,3
Modiolus modiolus,3
Moerella,2
Monocorophium insidiosum,1
Monoporeia affinis,1
Musculus,2
Musculus discors,2
Mya,3
Mya arenaria,3
Mya truncata,3
Mysella,2
Mysia,3
Mysia undata,3
Mysida,1
Mysis,1
Mysis mixta,1
Mytilus,3
Mytilus edulis,3
Mytilus trossulus,3
Nassarius,2
Natatolana,1
Natatolana borealis,1
Neomysis integer,1
Nephrops norvegicus,2
Nephtys,2
Nephtys caeca,2
Nephtys cirrosa,2
Nephtys hombergii,2
Neptunea antiqua,2
Notomastus,2
Notomastus latericeus,2
Nucella lapillus,2
Nucula,2
Nucula nitidosa,2
Nucula nucleus,2
Nucula turgida,3
Nymphon,2
Nymphon gracile,1
Ocenebra,2
Ocenebra erinaceus,2
Oedicerotidae,1
Onchidoris,2
Onchidoris bilamellata,2
Onchidoris muricata,2
Ophelia,2
Ophelia bicornis,2
Ophiothrix,2
Ophiothrix fragilis,3
Ophiura,2
Ophiura albida,2
Ophiura ophiura,2
Orchomenella,1
Orchomenella minuta,1
Ostrea edulis,3
Owenia,2
Owenia fusiformis,2
Oxydromus,2
Oxydromus flexuosus,2
Pachygrapsus marmoratus,2
Pagurus,2
Pagurus bernhardus,2
Palaemon,2
Palaemon adspersus,2
Palaemon elegans,2
Palaemon serratus,2
Palio,2
Palio dubia,2
Pandalus,2
Pandalus borealis,2
Pandalus montagui,2
Paracentrotus lividus,3
Paramysis,1
Paramysis arenosa,1
Paraonis,2
Paraonis fulgens,2
Pasiphaea sivado,2
Pecten maximus,3
Perforatus perforatus,2
Peringia,2
Peringia ulvae,2
Perioculodes,1
Perioculodes longimanus,1
Pestarella tyrrhena,2
Petricola,3
Phaxas pellucidus,3
Philine,2
Philine aperta,2
Philine denticulata,2
Philocheras,2
Philocheras trispinosus,2
Pholoe,3
Pholoe minuta,3
Phorcus lineatus,2
Phoronida,2
Phoronidae,2
Phoronis,2
Phoronis muelleri,2
Phoronis pallida,2
Phoronis psammophila,2
Photidae,1
Photis,1
Photis longicaudata,1
Photis reinhardi,1
Phoxichilidium,2
Phoxichilidium femoratum,2
Phoxocephalidae,1
Phyllodoce,2
Phyllodoce mucosa,2
Pisidia,2
Pisidia longicornis,2
Pisione remota,2
Platysympus typicus,1
Poecilochaetus,2
Poecilochaetus serpens,2
Polititapes,3
Polititapes rhomboides,3
Polydora,2
Polydora ciliata,2
Polydora cornuta,2
Pontocrates,1
Pontocrates altamarinus,1
Pontocrates arcticus,1
Pontocrates arenarius,1
Pontoporeia,1
Pontoporeia femorata,1
Portumnus latipes,2
Praunus,1
Praunus flexuosus,1
Praunus inermis,1
Praunus neglectus,1
Prionospio,2
Prionospio cirrifera,2
Psammechinus,3
Psammechinus miliaris,3
Pseudocuma,1
Pseudocuma (Pseudocuma) longicorne,1
Pseudopotamilla,2
Pseudopotamilla reniformis,2
Pycnogonum,2
Pycnogonum litorale,2
Pygospio,2
Pygospio elegans,2
Retusa,2
Retusa obtusa,2
Rissoides desmaresti,2
Ruditapes decussatus,3
Sabellaria,3
Sabellaria spinulosa,3
Scalibregma,2
Scalibregma inflatum,2
Schistomysis,1
Schistomysis kervillei,1
Schistomysis ornata,1
Schistomysis spiritus,1
Scolelepis,2
Scolelepis bonnieri,2
Scolelepis (Scolelepis) foliosa,2
Scolelepis (Scolelepis) squamata,2
Scoletoma,2
Scoletoma fragilis,2
Scoloplos,2
Scoloplos armiger,2
Scrobicularia plana,3
Semibalanus,3
Semibalanus balanoides,3
Sepia,2
Sepiola,2
Sepiola atlantica,2
Sigalion,3
Sigalion mathildae,3
Solen,3
Solen marginatus,3
Sphaerechinus granularis,3
Sphaeromatidae,1
Sphenia binghami,3
Spio,2
Spio decorata,2
Spio filicornis,2
Spio goniocephala,2
Spio martinensis,2
Spiophanes,2
Spiophanes bombyx,2
Spirobranchus,2
Spirobranchus triqueter,2
Spisula,3
Spisula elliptica,3
Spisula solida,3
Spisula subtruncata,3
Stegocephalidae,2
Stegocephalus inflatus,2
Stenothoidae,1
Steromphala cineraria,2
Steromphala umbilicalis,2
Streblospio,1
Streblospio benedicti,2
Streblospio shrubsolii,1
Streptosyllis,2
Streptosyllis websteri,2
Strongylocentrotus,3
Strongylocentrotus droebachiensis,3
Strongylocentrotus pallidus,3
Synchelidium,1
Synchelidium maculatum,1
Talitrus saltator,1
Tanaididae,1
Tanais,1
Tanais dulongii,1
Tellimya,2
Tellimya ferruginosa,2
Tellina,2
Tenellia adspersa,2
Terebellides,2
Terebellides stroemii,2
Tharyx,2
Tharyx killariensis,2
Thelepus,2
Thelepus cincinnatus,2
Thracia,2
Thracia convexa,2
Thracia phaseolina,2
Thracia pubescens,2
Thyasira,2
Thyasira flexuosa,2
Tritia reticulata,2
Tryphosa nana,1
Turritella,3
Turritella communis,3
Upogebia,2
Upogebia deltaura,2
Upogebia pusilla,2
Urothoe,1
Urothoe brevicornis,1
Urothoe marina,1
Urothoe poseidonis,1
Urothoidae,1
Venerupis,3
Venerupis corrugata,3
Venus,3
Venus verrucosa,3
Verruca stroemia,2
Westwoodilla,1
Westwoodilla caecula,1
