id,phy,clas,ord,fam,gen,tx,txa
7500,Hemichordata,Enteropneusta,[unassigned] Enteropneusta,,[unassigned],[unassigned] Enteropneusta,[unassigned] Enteropneusta
1,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,Abietinaria,Abietinaria
2,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,Abietinaria abietina,Abietinaria abietina
3,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,Abietinaria filicula,Abietinaria filicula
4,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia,Ablabesmyia
5,Arthropoda,Malacostraca,Amphipoda,Melitidae,Abludomelita,Abludomelita,Abludomelita
8,Arthropoda,Malacostraca,Amphipoda,Melitidae,Abludomelita,Abludomelita Melita obtusata,Abludomelita obtusata
6,Arthropoda,Malacostraca,Amphipoda,Melitidae,Abludomelita,Abludomelita aculeata,Abludomelita aculeata
7,Arthropoda,Malacostraca,Amphipoda,Melitidae,Abludomelita,Abludomelita gladiosa,Abludomelita gladiosa
4281,Arthropoda,Malacostraca,Amphipoda,Melitidae,Abludomelita,Melita gladiosa,Abludomelita gladiosa
9,Arthropoda,Malacostraca,Amphipoda,Melitidae,Abludomelita,Abludomelita obtusata,Abludomelita obtusata
4283,Arthropoda,Malacostraca,Amphipoda,Melitidae,Abludomelita,Melita obtusata,Abludomelita obtusata
10,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra,Abra
12,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abraeniles,Abra
11,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra alba,Abra alba
13,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra longicallus,Abra longicallus
14,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra nitida,Abra nitida
15,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra prismatica,Abra prismatica
16,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra segmentum,Abra segmentum
17,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra tenuis,Abra tenuis
19,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Abyssocucumis,Abyssocucumis abyssorum,Abyssocucumis abyssorum
18,Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe,Abyssinoe,Abyssoninoe
20,Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe,Abyssoninoe,Abyssoninoe
21,Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe,Abyssoninoe abyssorum,Abyssoninoe abyssorum
22,Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe,Abyssoninoe hibernica,Abyssoninoe hibernica
4008,Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe,Lumbrineris hibernica,Abyssoninoe hibernica
4020,Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe,Lumbrineris scopa aequilobata,Abyssoninoe hibernica
23,Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe,Abyssoninoe scopa,Abyssoninoe scopa
4019,Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe,Lumbrineris scopa,Abyssoninoe scopa
24,Annelida,Polychaeta,Phyllodocida,Polynoidae,Acanthicolepis,Acanthicolepis asperrima,Acanthicolepis asperrima
25,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,Acanthocardia,Acanthocardia
26,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,Acanthocardia aculeata,Acanthocardia aculeata
27,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,Acanthocardia echinata,Acanthocardia echinata
28,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,Acanthocardia paucicostata,Acanthocardia paucicostata
29,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,Acanthocardia tuberculata,Acanthocardia tuberculata
30,Acanthocephala,,,,,Acanthocephala,Acanthocephala
31,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,Acanthochitona,Acanthochitona
32,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,Acanthochitona crinita,Acanthochitona crinita
33,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,Acanthochitona crinitus,Acanthochitona crinita
34,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,Acanthochitona critina,Acanthochitona crinita
35,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,Acanthochitona fascicularis,Acanthochitona fascicularis
36,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops robustus robustus,Acanthocyclops robustus robustus
37,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,Acanthodoris pilosa,Acanthodoris pilosa
38,Arthropoda,Malacostraca,Mysida,Mysidae,Acanthomysis,Acanthomysis longicornis,Acanthomysis longicornis
39,Arthropoda,Malacostraca,Amphipoda,Acanthonotozomatidae,,Acanthonotozomatidae,Acanthonotozomatidae
40,Arthropoda,Malacostraca,Isopoda,Serolidae,Acanthoserolis,Acanthoserolis,Acanthoserolis
41,Echinodermata,Holothuroidea,Apodida,Myriotrochidae,Acanthotrochus,Acanthotrochus,Acanthotrochus
42,Echinodermata,Holothuroidea,Apodida,Myriotrochidae,Acanthotrochus,Acanthotrochus mirabilis,Acanthotrochus mirabilis
47,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia,Acartia
48,Arthropoda,Hexanauplia,Sessilia,Archaeobalanidae,Acasta,Acasta spongites,Acasta spongites
49,Cnidaria,Hydrozoa,Anthoathecata,Acaulidae,Acaulis,Acaulis primarius,Acaulis primarius
50,Arthropoda,Malacostraca,Decapoda,Inachidae,Achaeus,Achaeus,Achaeus
51,Arthropoda,Malacostraca,Decapoda,Inachidae,Achaeus,Achaeus cranchii,Achaeus cranchii
52,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Achelia,Achelia,Achelia
53,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Achelia,Achelia echinata,Achelia echinata
54,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Achelia,Achelia hispida,Achelia hispida
55,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Achelia,Achelia laevis,Achelia laevis
57,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Achelia,Achelia simplex,Achelia simplex
58,Annelida,Polychaeta,Phyllodocida,Polynoidae,Acholoe,Acholoe squamosa,Acholoe squamosa
59,Arthropoda,Malacostraca,Amphipoda,Acidostomatidae,Acidostoma,Acidostoma,Acidostoma
61,Arthropoda,Malacostraca,Amphipoda,Acidostomatidae,Acidostoma,Acidostoma NEGLECTUM,Acidostoma neglectum
60,Arthropoda,Malacostraca,Amphipoda,Acidostomatidae,Acidostoma,Acidostoma neglectum,Acidostoma neglectum
64,Arthropoda,Malacostraca,Amphipoda,Acidostomatidae,Acidostoma,Acidostoma sarsi,Acidostoma nodiferum
62,Arthropoda,Malacostraca,Amphipoda,Acidostomatidae,Acidostoma,Acidostoma nodiferum,Acidostoma obesum
63,Arthropoda,Malacostraca,Amphipoda,Acidostomatidae,Acidostoma,Acidostoma obesum,Acidostoma obesum
65,Arthropoda,Malacostraca,Amphipoda,Acidostomatidae,Acidostoma,Acidostomum nodiferum,Acidostoma obesum
66,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Aclis,Aclis,Aclis
67,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Aclis,Aclis gulsonae,Aclis gulsonae
68,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Aclis,Aclis minor,Aclis minor
